('MVU', 'MVU', 'Musgrave', '', 'AU')
('MWB', 'MWB', 'Morawa', '', 'AU')
('MWT', 'MWT', 'Moolawatana', '', 'AU')
('MWY', 'MWY', 'Miranda Downs', '', 'AU')
('MXD', 'MXD', 'Marion Downs', '', 'AU')
('MXQ', 'MXQ', 'Mitchell River', '', 'AU')
('MXU', 'MXU', 'Mullewa', '', 'AU')
('MYA', 'MYA', 'Moruya', '', 'AU')
('MYI', 'MYI', 'Murray Island', '', 'AU')
('MYO', 'MYO', 'Myroodah', '', 'AU')
('NAA', 'NAA', 'Narrabri', '', 'AU')
('NAC', 'NAC', 'Naracoorte', '', 'AU')
('NBH', 'NBH', 'Nambucca Heads', '', 'AU')
('NBR', 'NBR', 'Nambour', '', 'AU')
('NDS', 'NDS', 'Sandstone', '', 'AU')
('NGA', 'NGA', 'Young', '', 'AU')
('NIF', 'NIF', 'Nifty', '', 'AU')
('NKB', 'NKB', 'Noonkanbah', '', 'AU')
('NLF', 'NLF', 'Darnley Island', '', 'AU')
('NLL', 'NLL', 'Nullagine', '', 'AU')
('NLS', 'NLS', 'Nicholson', '', 'AU')
('NMP', 'NMP', 'New Moon', '', 'AU')
('NMR', 'NMR', 'Nappa Merry', '', 'AU')
('NOA', 'NOA', 'Nowra', '', 'AU')
('NPP', 'NPP', 'Napperby', '', 'AU')
('NRA', 'NRA', 'Narrandera', '', 'AU')
('NRG', 'NRG', 'Narrogin', '', 'AU')
('NRY', 'NRY', 'Newry', '', 'AU')
('NSA', 'NSA', 'Noosa', '', 'AU')
('NSM', 'NSM', 'Norseman', '', 'AU')
('NSO', 'NSO', 'Scone', '', 'AU')
('NSV', 'NSV', 'Noosaville', '', 'AU')
('NTL', 'NTL', 'Newcastle', 'Williamtown', 'AU')
('NTN', 'NTN', 'Normanton', '', 'AU')
('NUB', 'NUB', 'Numbulwar', '', 'AU')
('NUR', 'NUR', 'Nullarbor', '', 'AU')
('NYN', 'NYN', 'Nyngan', '', 'AU')
('OAG', 'OAG', 'Orange', 'Springhill', 'AU')
('OBA', 'OBA', 'Oban', '', 'AU')
('ODD', 'ODD', 'Oodnadatta', '', 'AU')
('ODL', 'ODL', 'Cordillo Downs', '', 'AU')
('ODR', 'ODR', 'Ord River', '', 'AU')
('OKB', 'OKB', 'Orchid Beach', 'Fraser Island', 'AU')
('OKR', 'OKR', 'Yorke Island', '', 'AU')
('OKY', 'OKY', 'Oakey', '', 'AU')
('OLP', 'OLP', 'Olympic Dam', '', 'AU')
('ONG', 'ONG', 'Mornington Island', '', 'AU')
('ONR', 'ONR', 'Monkira', '', 'AU')
('ONS', 'ONS', 'Onslow', '', 'AU')
('OOL', 'OOL', 'Gold Coast', '', 'AU')
('OOM', 'OOM', 'Cooma', '', 'AU')
('OOR', 'OOR', 'Mooraberree', '', 'AU')
('OPI', 'OPI', 'Oenpelli', '', 'AU')
('ORR', 'ORR', 'Yorketown', '', 'AU')
('ORS', 'ORS', 'Orpheus Island', '', 'AU')
('OXO', 'OXO', 'Orientos', '', 'AU')
('OXY', 'OXY', 'Morney', '', 'AU')
('OYN', 'OYN', 'Ouyen', '', 'AU')
('PBO', 'PBO', 'Paraburdoo', '', 'AU')
('PBY', 'PBY', 'Peppers Palm Bay', '', 'AU')
('PDE', 'PDE', 'Pandie Pandie', '', 'AU')
('PDN', 'PDN', 'Parndana', '', 'AU')
('PEA', 'PEA', 'Penneshaw', '', 'AU')
('PEP', 'PEP', 'Peppimenarti', '', 'AU')
('PER', 'PER', 'Perth', '', 'AU')
('PEY', 'PEY', 'Penong', '', 'AU')
('PHE', 'PHE', 'Port Hedland', '', 'AU')
('PHJ', 'PHJ', 'Port Hunter', '', 'AU')
('PKE', 'PKE', 'Parkes', '', 'AU')
('PKT', 'PKT', 'Port Keats', '', 'AU')
('PLO', 'PLO', 'Port Lincoln', '', 'AU')
('PMK', 'PMK', 'Palm Island', '', 'AU')
('PPI', 'PPI', 'Port Pirie', '', 'AU')
('PPP', 'PPP', 'Proserpine', '', 'AU')
('PQQ', 'PQQ', 'Port MacQuarie', '', 'AU')
('PRD', 'PRD', 'Pardoo', '', 'AU')
('PTE', 'PTE', 'Port Stephens', '', 'AU')
('PTI', 'PTI', 'Port Douglas', '', 'AU')
('PTJ', 'PTJ', 'Portland', '', 'AU')
('PUG', 'PUG', 'Port Augusta', '', 'AU')
('QBE', 'QBE', 'Bega', '', 'AU')
('QBW', 'QBW', 'Batemans Bay Off-Line Point', '', 'AU')
('QDN', 'QDN', 'Eden', '', 'AU')
('QEL', 'QEL', 'Wellington', '', 'AU')
('QIY', 'QIY', 'Bedarra Island', '', 'AU')
('QJD', 'QJD', 'Jindabyne', '', 'AU')
('QLE', 'QLE', 'Leeton Bus', 'Bus Station', 'AU')
